id,key,value
SV-20,registry.code,gungnir_security::Authenticator
SV-20,registry.status,scaffold
SV-21,uafId,SV-21
SV-21,uafKind,ServiceInterface
SV-21,registry.code,gungnir_security::Authorizer
SV-21,registry.status,real
SV-22,uafId,SV-22
SV-22,uafKind,ServiceInterface
SV-22,registry.code,gungnir_security::AuditLog
SV-22,registry.status,real
SV-23,uafId,SV-23
SV-23,uafKind,ServiceInterface
SV-23,registry.code,gungnir_api::ApiHandler
SV-23,registry.status,scaffold
SV-24,uafId,SV-24
SV-24,uafKind,ServiceInterface
SV-24,registry.code,gungnir_observability::HealthMonitor
SV-24,registry.status,real
SV-25,uafId,SV-25
SV-25,uafKind,ServiceInterface
SV-25,registry.code,gungnir_resilience::StoreAndForwardQueue
SV-25,registry.status,real
SV-26,uafId,SV-26
SV-26,uafKind,ServiceInterface
SV-26,registry.code,gungnir_collab::SharedPictureSync
SV-26,registry.status,real
SV-27,uafId,SV-27
SV-27,uafKind,ServiceInterface
SV-27,registry.code,gungnir_workflow::AlertLifecycle
SV-27,registry.status,real
SV-28,uafId,SV-28
SV-28,uafKind,ServiceInterface
SV-28,registry.code,gungnir_replay
SV-28,registry.status,real
SV-29,uafId,SV-29
SV-29,uafKind,ServiceInterface
SV-29,registry.code,gungnir_reporting::ReportGenerator
SV-29,registry.status,real
SV-30,uafId,SV-30
SV-30,uafKind,ServiceInterface
SV-30,registry.code,gungnir_remote
SV-30,registry.status,scaffold
SV-31,uafId,SV-31
SV-31,uafKind,ServiceInterface
SV-31,registry.code,gungnir_data
SV-31,registry.status,scaffold
SV-32,uafId,SV-32
SV-32,uafKind,ServiceInterface
SV-32,registry.code,gungnir_data_fusion
SV-32,registry.status,real
SV-33,uafId,SV-33
SV-33,uafKind,ServiceInterface
SV-33,registry.code,gungnir_metrics
SV-33,registry.status,scaffold
SV-34,uafId,SV-34
SV-34,uafKind,ServiceInterface
SV-34,registry.code,gungnir_scenario
SV-34,registry.status,scaffold
RS-allocation,uafId,RS-allocation
RS-allocation,uafKind,ResourceArtifact
RS-allocation,registry.kind,library
RS-allocation,registry.layer,Tracking core
RS-allocation,registry.code,gungnir-allocation/Cargo.toml
RS-analytics,uafId,RS-analytics
RS-analytics,uafKind,ResourceArtifact
RS-analytics,registry.kind,library
RS-analytics,registry.layer,Productization
RS-analytics,registry.code,gungnir-analytics/Cargo.toml
RS-api,uafId,RS-api
RS-api,uafKind,ResourceArtifact
RS-api,registry.kind,library
RS-api,registry.layer,Productization
RS-api,registry.code,gungnir-api/Cargo.toml
RS-app,uafId,RS-app
RS-app,uafKind,ResourceArtifact
RS-app,registry.kind,binary
RS-app,registry.layer,User interface
RS-app,registry.code,gungnir-app/Cargo.toml
RS-approval,uafId,RS-approval
RS-approval,uafKind,ResourceArtifact
RS-approval,registry.kind,library
RS-approval,registry.layer,Productization
RS-approval,registry.code,gungnir-approval/Cargo.toml
RS-assessment,uafId,RS-assessment
RS-assessment,uafKind,ResourceArtifact
RS-assessment,registry.kind,library
RS-assessment,registry.layer,Productization
RS-assessment,registry.code,gungnir-assessment/Cargo.toml
RS-association,uafId,RS-association
RS-association,uafKind,ResourceArtifact
RS-association,registry.kind,library
RS-association,registry.layer,Tracking core
RS-association,registry.code,gungnir-association/Cargo.toml
RS-collab,uafId,RS-collab
RS-collab,uafKind,ResourceArtifact
RS-collab,registry.kind,library
RS-collab,registry.layer,Productization
RS-collab,registry.code,gungnir-collab/Cargo.toml
RS-command,uafId,RS-command
RS-command,uafKind,ResourceArtifact
RS-command,registry.kind,library
RS-command,registry.layer,Productization
RS-command,registry.code,gungnir-command/Cargo.toml
RS-config,uafId,RS-config
RS-config,uafKind,ResourceArtifact
RS-config,registry.kind,library
RS-config,registry.layer,Productization
RS-config,registry.code,gungnir-config/Cargo.toml
RS-coord,uafId,RS-coord
RS-coord,uafKind,ResourceArtifact
RS-coord,registry.kind,library
RS-coord,registry.layer,Tracking core
RS-coord,registry.code,gungnir-coord/Cargo.toml
RS-core,uafId,RS-core
RS-core,uafKind,ResourceArtifact
RS-core,registry.kind,library
RS-core,registry.layer,Tracking core
RS-core,registry.code,gungnir-core/Cargo.toml
RS-data-fusion,uafId,RS-data-fusion
RS-data-fusion,uafKind,ResourceArtifact
RS-data-fusion,registry.kind,library
RS-data-fusion,registry.layer,Data ecosystem
RS-data-fusion,registry.code,gungnir-data-fusion/Cargo.toml
RS-data,uafId,RS-data
RS-data,uafKind,ResourceArtifact
RS-data,registry.kind,library
RS-data,registry.layer,Data ecosystem
RS-data,registry.code,gungnir-data/Cargo.toml
RS-decision,uafId,RS-decision
RS-decision,uafKind,ResourceArtifact
RS-decision,registry.kind,library
RS-decision,registry.layer,Productization
RS-decision,registry.code,gungnir-decision/Cargo.toml
RS-eventing,uafId,RS-eventing
RS-eventing,uafKind,ResourceArtifact
RS-eventing,registry.kind,library
RS-eventing,registry.layer,Productization
RS-eventing,registry.code,gungnir-eventing/Cargo.toml
RS-filters,uafId,RS-filters
RS-filters,uafKind,ResourceArtifact
RS-filters,registry.kind,library
RS-filters,registry.layer,Tracking core
RS-filters,registry.code,gungnir-filters/Cargo.toml
RS-fusion-async,uafId,RS-fusion-async
RS-fusion-async,uafKind,ResourceArtifact
RS-fusion-async,registry.kind,library
RS-fusion-async,registry.layer,Tracking core
RS-fusion-async,registry.code,gungnir-fusion-async/Cargo.toml
RS-fuzz,uafId,RS-fuzz
RS-fuzz,uafKind,ResourceArtifact
RS-fuzz,registry.kind,library
RS-fuzz,registry.layer,Tracking core
RS-fuzz,registry.code,gungnir-fuzz/Cargo.toml
RS-geo,uafId,RS-geo
RS-geo,uafKind,ResourceArtifact
RS-geo,registry.kind,library
RS-geo,registry.layer,Productization
RS-geo,registry.code,gungnir-geo/Cargo.toml
RS-identification,uafId,RS-identification
RS-identification,uafKind,ResourceArtifact
RS-identification,registry.kind,library
RS-identification,registry.layer,Productization
RS-identification,registry.code,gungnir-identification/Cargo.toml
RS-identity,uafId,RS-identity
RS-identity,uafKind,ResourceArtifact
RS-identity,registry.kind,library
RS-identity,registry.layer,Productization
RS-identity,registry.code,gungnir-identity/Cargo.toml
RS-ingest,uafId,RS-ingest
RS-ingest,uafKind,ResourceArtifact
RS-ingest,registry.kind,library
RS-ingest,registry.layer,Productization
RS-ingest,registry.code,gungnir-ingest/Cargo.toml
RS-intercept-service,uafId,RS-intercept-service
RS-intercept-service,uafKind,ResourceArtifact
RS-intercept-service,registry.kind,library
RS-intercept-service,registry.layer,Service facades
RS-intercept-service,registry.code,gungnir-intercept-service/Cargo.toml
RS-interop,uafId,RS-interop
RS-interop,uafKind,ResourceArtifact
RS-interop,registry.kind,library
RS-interop,registry.layer,Productization
RS-interop,registry.code,gungnir-interop/Cargo.toml
RS-metrics,uafId,RS-metrics
RS-metrics,uafKind,ResourceArtifact
RS-metrics,registry.kind,library
RS-metrics,registry.layer,Tracking core
RS-metrics,registry.code,gungnir-metrics/Cargo.toml
RS-mission,uafId,RS-mission
RS-mission,uafKind,ResourceArtifact
RS-mission,registry.kind,library
RS-mission,registry.layer,Productization
RS-mission,registry.code,gungnir-mission/Cargo.toml
RS-ml,uafId,RS-ml
RS-ml,uafKind,ResourceArtifact
RS-ml,registry.kind,library
RS-ml,registry.layer,Productization
RS-ml,registry.code,gungnir-ml/Cargo.toml
RS-model,uafId,RS-model
RS-model,uafKind,ResourceArtifact
RS-model,registry.kind,library
RS-model,registry.layer,Foundation model
RS-model,registry.code,gungnir-model/Cargo.toml
RS-modelops,uafId,RS-modelops
RS-modelops,uafKind,ResourceArtifact
RS-modelops,registry.kind,library
RS-modelops,registry.layer,Productization
RS-modelops,registry.code,gungnir-modelops/Cargo.toml
RS-node,uafId,RS-node
RS-node,uafKind,ResourceArtifact
RS-node,registry.kind,binary
RS-node,registry.layer,Deployment
RS-node,registry.code,gungnir-node/Cargo.toml
RS-observability,uafId,RS-observability
RS-observability,uafKind,ResourceArtifact
RS-observability,registry.kind,library
RS-observability,registry.layer,Productization
RS-observability,registry.code,gungnir-observability/Cargo.toml
RS-oracle,uafId,RS-oracle
RS-oracle,uafKind,ResourceArtifact
RS-oracle,registry.kind,library
RS-oracle,registry.layer,Tracking core
RS-oracle,registry.code,gungnir-oracle/Cargo.toml
RS-policy,uafId,RS-policy
RS-policy,uafKind,ResourceArtifact
RS-policy,registry.kind,library
RS-policy,registry.layer,Productization
RS-policy,registry.code,gungnir-policy/Cargo.toml
RS-remote,uafId,RS-remote
RS-remote,uafKind,ResourceArtifact
RS-remote,registry.kind,library
RS-remote,registry.layer,Deployment
RS-remote,registry.code,gungnir-remote/Cargo.toml
RS-render,uafId,RS-render
RS-render,uafKind,ResourceArtifact
RS-render,registry.kind,library
RS-render,registry.layer,Data ecosystem
RS-render,registry.code,gungnir-render/Cargo.toml
RS-replay,uafId,RS-replay
RS-replay,uafKind,ResourceArtifact
RS-replay,registry.kind,library
RS-replay,registry.layer,Productization
RS-replay,registry.code,gungnir-replay/Cargo.toml
RS-reporting,uafId,RS-reporting
RS-reporting,uafKind,ResourceArtifact
RS-reporting,registry.kind,library
RS-reporting,registry.layer,Productization
RS-reporting,registry.code,gungnir-reporting/Cargo.toml
RS-resilience,uafId,RS-resilience
RS-resilience,uafKind,ResourceArtifact
RS-resilience,registry.kind,library
RS-resilience,registry.layer,Productization
RS-resilience,registry.code,gungnir-resilience/Cargo.toml
RS-rfs,uafId,RS-rfs
RS-rfs,uafKind,ResourceArtifact
RS-rfs,registry.kind,library
RS-rfs,registry.layer,Tracking core
RS-rfs,registry.code,gungnir-rfs/Cargo.toml
RS-scenario,uafId,RS-scenario
RS-scenario,uafKind,ResourceArtifact
RS-scenario,registry.kind,library
RS-scenario,registry.layer,Tracking core
RS-scenario,registry.code,gungnir-scenario/Cargo.toml
RS-security,uafId,RS-security
RS-security,uafKind,ResourceArtifact
RS-security,registry.kind,library
RS-security,registry.layer,Productization
RS-security,registry.code,gungnir-security/Cargo.toml
RS-sensor-management,uafId,RS-sensor-management
RS-sensor-management,uafKind,ResourceArtifact
RS-sensor-management,registry.kind,library
RS-sensor-management,registry.layer,Productization
RS-sensor-management,registry.code,gungnir-sensor-management/Cargo.toml
RS-store,uafId,RS-store
RS-store,uafKind,ResourceArtifact
RS-store,registry.kind,library
RS-store,registry.layer,Productization
RS-store,registry.code,gungnir-store/Cargo.toml
RS-testkit,uafId,RS-testkit
RS-testkit,uafKind,ResourceArtifact
RS-testkit,registry.kind,library
RS-testkit,registry.layer,Tracking core
RS-testkit,registry.code,gungnir-testkit/Cargo.toml
RS-time,uafId,RS-time
RS-time,uafKind,ResourceArtifact
RS-time,registry.kind,library
RS-time,registry.layer,Productization
RS-time,registry.code,gungnir-time/Cargo.toml
RS-track-fusion,uafId,RS-track-fusion
RS-track-fusion,uafKind,ResourceArtifact
RS-track-fusion,registry.kind,library
RS-track-fusion,registry.layer,Tracking core
RS-track-fusion,registry.code,gungnir-track-fusion/Cargo.toml
RS-track,uafId,RS-track
RS-track,uafKind,ResourceArtifact
RS-track,registry.kind,library
RS-track,registry.layer,Tracking core
