rel_id,kind,stereotype,from_id,to_id,name,ea_type
REL:achieves:OA-12->CAP-1.4,achieves,Achieves,OA-12,CAP-1.4,achieves: OA-12 -> CAP-1.4,Abstraction
REL:achieves:OA-12->CAP-2.11,achieves,Achieves,OA-12,CAP-2.11,achieves: OA-12 -> CAP-2.11,Abstraction
REL:achieves:OA-13->CAP-5.5,achieves,Achieves,OA-13,CAP-5.5,achieves: OA-13 -> CAP-5.5,Abstraction
REL:achieves:OA-13->CAP-1.5,achieves,Achieves,OA-13,CAP-1.5,achieves: OA-13 -> CAP-1.5,Abstraction
REL:achieves:OA-14->CAP-3.9,achieves,Achieves,OA-14,CAP-3.9,achieves: OA-14 -> CAP-3.9,Abstraction
REL:achieves:OA-15->CAP-1.6,achieves,Achieves,OA-15,CAP-1.6,achieves: OA-15 -> CAP-1.6,Abstraction
REL:achieves:OA-15->CAP-7.1,achieves,Achieves,OA-15,CAP-7.1,achieves: OA-15 -> CAP-7.1,Abstraction
REL:achieves:OA-15->CAP-7.2,achieves,Achieves,OA-15,CAP-7.2,achieves: OA-15 -> CAP-7.2,Abstraction
REL:achieves:OA-15->CAP-7.4,achieves,Achieves,OA-15,CAP-7.4,achieves: OA-15 -> CAP-7.4,Abstraction
REL:achieves:OA-16->CAP-2.9,achieves,Achieves,OA-16,CAP-2.9,achieves: OA-16 -> CAP-2.9,Abstraction
REL:achieves:OA-17->CAP-1.3,achieves,Achieves,OA-17,CAP-1.3,achieves: OA-17 -> CAP-1.3,Abstraction
REL:achieves:OA-18->CAP-2.6,achieves,Achieves,OA-18,CAP-2.6,achieves: OA-18 -> CAP-2.6,Abstraction
REL:achieves:OA-18->CAP-1.7,achieves,Achieves,OA-18,CAP-1.7,achieves: OA-18 -> CAP-1.7,Abstraction
REL:achieves:OA-19->CAP-2.7,achieves,Achieves,OA-19,CAP-2.7,achieves: OA-19 -> CAP-2.7,Abstraction
REL:achieves:OA-19->CAP-2.12,achieves,Achieves,OA-19,CAP-2.12,achieves: OA-19 -> CAP-2.12,Abstraction
REL:achieves:OA-20->CAP-6.6,achieves,Achieves,OA-20,CAP-6.6,achieves: OA-20 -> CAP-6.6,Abstraction
REL:achieves:OA-20->CAP-7.4,achieves,Achieves,OA-20,CAP-7.4,achieves: OA-20 -> CAP-7.4,Abstraction
REL:achieves:OA-20->CAP-5.8,achieves,Achieves,OA-20,CAP-5.8,achieves: OA-20 -> CAP-5.8,Abstraction
REL:achieves:OA-21->CAP-3.1,achieves,Achieves,OA-21,CAP-3.1,achieves: OA-21 -> CAP-3.1,Abstraction
REL:achieves:OA-22->CAP-1.4,achieves,Achieves,OA-22,CAP-1.4,achieves: OA-22 -> CAP-1.4,Abstraction
REL:achieves:OA-22->CAP-2.10,achieves,Achieves,OA-22,CAP-2.10,achieves: OA-22 -> CAP-2.10,Abstraction
REL:achieves:OA-22->CAP-2.11,achieves,Achieves,OA-22,CAP-2.11,achieves: OA-22 -> CAP-2.11,Abstraction
REL:achieves:OA-23->CAP-3.6,achieves,Achieves,OA-23,CAP-3.6,achieves: OA-23 -> CAP-3.6,Abstraction
REL:achieves:OA-23->CAP-5.6,achieves,Achieves,OA-23,CAP-5.6,achieves: OA-23 -> CAP-5.6,Abstraction
REL:achieves:OA-24->CAP-5.6,achieves,Achieves,OA-24,CAP-5.6,achieves: OA-24 -> CAP-5.6,Abstraction
REL:achieves:OA-25->CAP-5.2,achieves,Achieves,OA-25,CAP-5.2,achieves: OA-25 -> CAP-5.2,Abstraction
REL:achieves:OA-26->CAP-5.3,achieves,Achieves,OA-26,CAP-5.3,achieves: OA-26 -> CAP-5.3,Abstraction
REL:achieves:OA-26->CAP-5.8,achieves,Achieves,OA-26,CAP-5.8,achieves: OA-26 -> CAP-5.8,Abstraction
REL:achieves:OA-27->CAP-5.4,achieves,Achieves,OA-27,CAP-5.4,achieves: OA-27 -> CAP-5.4,Abstraction
REL:achieves:OA-27->CAP-7.3,achieves,Achieves,OA-27,CAP-7.3,achieves: OA-27 -> CAP-7.3,Abstraction
REL:achieves:OA-28->CAP-5.4,achieves,Achieves,OA-28,CAP-5.4,achieves: OA-28 -> CAP-5.4,Abstraction
REL:achieves:OA-29->CAP-5.4,achieves,Achieves,OA-29,CAP-5.4,achieves: OA-29 -> CAP-5.4,Abstraction
REL:achieves:OA-30->CAP-3.8,achieves,Achieves,OA-30,CAP-3.8,achieves: OA-30 -> CAP-3.8,Abstraction
REL:achieves:OA-31->CAP-3.7,achieves,Achieves,OA-31,CAP-3.7,achieves: OA-31 -> CAP-3.7,Abstraction
